date,action,ticker,name,rank,score,source_etfs,target_weight
2026-03-11,IN,MU,MU,1,0.7584,SMH,
2026-03-11,IN,ZIM,ZIM,2,0.6455,SEA,
2026-03-11,IN,OXY,OXY,3,0.56,XOP,
2026-03-11,IN,APA,APA,4,0.5119,XOP,
2026-03-11,IN,AMAT,AMAT,5,0.5096,SMH,
2026-03-11,IN,HWM,HWM,6,0.4672,ITA,
2026-03-11,KEEP,ZIM,ZIM,1,0.7666,SEA,0.088457
2026-03-11,KEEP,MU,MU,2,0.728,SMH,0.125382
2026-03-11,KEEP,OXY,OXY,3,0.7008,XOP,0.186537
2026-03-11,KEEP,APA,APA,4,0.6194,XOP,0.182846
2026-03-11,KEEP,HWM,HWM,6,0.556,ITA,0.269023
2026-03-11,KEEP,AMAT,AMAT,11,0.508,SMH,0.147756
